Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2001,III,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,,1,carvings,,T,O
2001,III,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,,1,leather products (small),,P,O
2002,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,1,,bones,,T,W
2002,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,1,,skulls,,T,W
2002,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,300,,teeth,,T,W
2002,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,TW,,5,,bones,,T,W
2002,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,ZA,,13,,bones,kg,S,W
2003,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CN,AU,ID,6,,derivatives,kg,T,O
2003,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,CN,,,1,carvings,,E,O
2003,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,BE,ZA,,1,,teeth,,,W
2003,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,1,,teeth,,P,I
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,AU,GB,XX,,2,carvings,,Q,O
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,8,,carvings,,T,O
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,,7,carvings,,T,U
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,SG,NZ,,21,,fins,,T,W
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,CN,XX,1,,skin pieces,,E,O
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,,2,carvings,,T,U
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,1,,leather products (large),,P,O
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,1,,skin pieces,,Q,O
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,,2,skin pieces,,T,U
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,1,,skin pieces,,T,W
2004,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,US,MY,,6,,soup,,T,I
2004,III,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,,1,skin pieces,,Q,U
2004,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,IT,MX,,644,leather products (small),,T,O
2004,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,TW,,12519,,bones,,T,W
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,,1,carvings,,T,O
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,11,,leather products (small),,T,O
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,,10,skins,,T,O
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CN,US,XX,,2,skin pieces,,E,U
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,GB,AU,XX,2,,carvings,,Q,O
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,GB,AU,,,2,leather products (large),,Z,O
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,HK,NO,,5538,,fins,kg,T,W
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,HK,NO,,,2855.4,meat,kg,T,W
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,SG,NZ,,8,,fins,,T,W
2005,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,AT,ZA,,2,,skin pieces,,P,W
2005,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,AT,ZA,,2,,teeth,,P,W
2005,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,FR,CH,MH,1,,carvings,,T,O
2005,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,GB,AU,,,1,bodies,,Z,O
2005,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,SI,US,ID,1,,bones,,,I
2005,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,NZ,,1,,bones,,P,O
2005,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,ZA,,24,,teeth,,S,W
2005,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,US,TW,,2,,live,,Z,W
2006,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,MY,HK,XX,,9,fins,kg,T,O
2006,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,SG,NZ,,39,,fins,,T,W
2006,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,,1,carvings,,T,U
2006,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,,1,leather products (large),,T,U
2006,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,1,,skins,,T,U
2006,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,1,,skin pieces,,T,U
2006,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,JP,NZ,,2,,teeth,,Q,O
2006,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,1,,trophies,,P,W
2006,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,GB,NZ,,4,bones,,P,W
2006,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,MX,,1,,trophies,,P,I
2006,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,NZ,,1,,bones,,P,W
2006,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,ZA,,,1,specimens,,S,W
2006,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,US,TW,,2,,live,,Z,W
2007,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CN,NO,,,700,meat,kg,T,W
2007,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,HK,SG,NZ,,39,fins,,T,W
2007,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,BE,ZA,,,1,specimens,,S,W
2007,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,GB,NZ,,,6,specimens,,S,W
2007,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,CN,XX,5,,teeth,,T,I
2007,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,MX,,,15,specimens,,S,W
2007,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,ZA,,1,,specimens,,E,W
2007,II,Pristis microdon,Elasmobranchii,Pristiformes,Pristidae,Pristis,FR,AU,,2,2,live,,E,W
2007,II,Pristis microdon,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,,,4,live,,E,W
2007,II,Pristis microdon,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,,4,,live,,Z,W
2007,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,MX,PH,,23,,specimens,,S,W
2007,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,MX,ZA,,28,28,specimens,,S,W
2007,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,US,TW,,2,,live,,Z,W
2008,I,Pristis pectinata,Elasmobranchii,Pristiformes,Pristidae,Pristis,BR,PT,XX,,1,teeth,,E,O
2008,I,Pristis pectinata,Elasmobranchii,Pristiformes,Pristidae,Pristis,CH,FR,XX,1,1,bodies,,Q,O
2008,I,Pristis pectinata,Elasmobranchii,Pristiformes,Pristidae,Pristis,FR,CH,XX,1,1,bodies,,Q,O
2008,I,Pristis zijsron,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,PG,1,,bodies,,P,W
2008,I,Pristis zijsron,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,PG,,1,bones,,P,O
2008,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,GB,NZ,,,1,specimens,,S,W
2008,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,HK,NO,,700,,fins,kg,T,W
2008,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,BE,ZA,,7,,specimens,kg,S,W
2008,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,CA,US,XX,,1,teeth,,T,W
2008,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,GB,NZ,,,4,specimens,,S,W
2008,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,NZ,HK,XX,1,,bones,,P,I
2008,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,PH,,383,,bones,,T,W
2008,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,ZA,,,750,teeth,,S,W
2008,II,Pristis microdon,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,,,2,live,,Q,W
2008,II,Pristis microdon,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,,2,,live,,Z,W
2008,II,Pristis microdon,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,GB,XX,1,,bones,,P,I
2008,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,SC,ZA,,,1,fins,,S,W
2009,I,Anoxypristis cuspidata,Elasmobranchii,Pristiformes,Pristidae,Anoxypristis,US,AU,,100,,fins,mg,S,W
2009,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,DE,RU,XX,,1,derivatives,,Q,O
2009,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,RU,DE,XX,,1,skin pieces,,Q,O
2009,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,US,DE,XX,1,1,carvings,,Q,O
2009,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,CH,NL,XX,,1,teeth,,T,O
2009,I,Pristis clavata,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,,100,,ears,mg,S,W
2009,I,Pristis zijsron,Elasmobranchii,Pristiformes,Pristidae,Pristis,FR,AU,,,1,bones,,T,O
2009,I,Pristis zijsron,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,,1,1,bones,,Q,O
2009,I,Pristis zijsron,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,,100,,ears,mg,S,W
2009,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,AT,XX,1,1,bones,,T,O
2009,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,DO,XX,US,2,,specimens,,S,W
2009,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,HK,NO,,119.1,200,fins,kg,T,W
2009,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,CN,,20,,derivatives,g,T,I
2009,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,,30,,specimens,,S,W
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,NZ,GB,,6,,teeth,,P,I
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,NZ,US,,1,,bones,,P,I
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,NZ,ZA,,,2,teeth,,P,W
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,PL,MX,,1,,bones,,,I
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,3,3,bones,,Q,W
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,300,300,teeth,,Q,W
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,CN,XX,4,,teeth,,P,I
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,PH,,15,,teeth,,T,I
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,TH,XX,1,,teeth,,P,I
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,TW,XX,1,,carvings,,P,I
2009,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,ZA,,750,,teeth,,S,W
2009,II,Pristis microdon,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,,100,,ears,mg,S,W
2009,II,Pristis microdon,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,FR,MG,,4,teeth,,T,O
2009,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,BE,ZA,,0.05,,bones,kg,S,W
2009,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,BE,ZA,,,2,teeth,,S,W
2009,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,DE,RU,XX,,2,derivatives,,Q,O
2009,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,RU,DE,XX,,2,skin pieces,,Q,O
2009,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,TW,MX,,,40,specimens,,S,W
2009,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,US,CA,TW,2,,bones,,S,I
2009,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,US,ZA,,,16,specimens,,S,W
2010,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,DE,RU,XX,1,,skin pieces,,Q,O
2010,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,DE,US,XX,1,,carvings,,Q,O
2010,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,DE,US,XX,,1,leather products (large),,Q,O
2010,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,US,CA,CR,,2,bones,,T,O
2010,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,AU,FR,VE,,2,bones,,P,O
2010,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,AU,FR,VE,,1,bone pieces,,P,O
2010,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,CH,NL,XX,1,,specimens,,T,O
2010,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,CH,NL,XX,,1,teeth,,T,O
2010,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,FR,RU,,1,,carvings,,Q,O
2010,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,NZ,FR,XX,,1,bones,,P,O
2010,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,RU,FR,XX,,1,carvings,,Q,O
2010,I,Pristis pectinata,Elasmobranchii,Pristiformes,Pristidae,Pristis,AU,ZA,,,1,bones,,E,W
2010,I,Pristis zijsron,Elasmobranchii,Pristiformes,Pristidae,Pristis,AU,US,AU,,1,bones,,Q,O
2010,I,Pristis zijsron,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,AU,,,1,bones,,Q,O
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,AE,SY,,1,,trophies,,E,I
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,AU,US,AU,,3,bones,,Q,W
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,AU,US,AU,,300,teeth,,Q,W
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,AU,XX,,3,,bones,,Q,W
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,AU,XX,,300,,teeth,,Q,W
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,CA,GB,XX,,1,carvings,,Q,U
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,CA,ZA,,,83,specimens,,S,W
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,CA,ZA,,,4,teeth,,S,W
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,FI,RU,,,1,derivatives,,,O
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,GB,CA,XX,1,1,carvings,,Q,O
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,GB,MC,AU,,1,bodies,,Q,W
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,MC,GB,AU,2,1,bodies,,Q,W
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,NZ,CA,,1,,teeth,,P,I
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,UA,SY,,,1,bones,,E,I
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,ID,,168,,teeth,,T,I
2010,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,MX,,4,,derivatives,,P,I
2010,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,AU,SC,,,86,specimens,,S,W
2010,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,CA,ZA,,,8,specimens,,S,W
2010,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,DE,RU,XX,2,,skin pieces,,Q,O
2010,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,US,CN,,6,,derivatives,,P,I
2010,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,US,PH,,4,,specimens,,S,W
2010,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,US,ZA,,32,,bone pieces,,S,W
2010,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,FI,RU,XX,1,,derivatives,,E,O
2010,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,RU,FI,XX,,1,bodies,,E,
2011,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,HK,DE,XX,1,,trophies,,T,O
2011,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,NO,SO,,1,1,bodies,,,I
2011,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,CN,DE,XX,,1,teeth,,T,O
2011,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,DE,AU,,1,teeth,,P,O
2011,I,Pristis pectinata,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,KW,AU,1,,carvings,,T,I
2011,I,Pristis pectinata,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,RU,XX,1,,derivatives,,P,I
2011,I,Pristis pristis,Elasmobranchii,Pristiformes,Pristidae,Pristis,US,DE,AU,1,,bodies,,P,W
2011,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CN,GB,XX,,1,carvings,,T,O
2011,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,HK,GB,XX,1,,skins,,T,O
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,AT,ZA,,2,,skins,,E,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,AT,ZA,,,2,specimens,,E,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,CA,ZA,,,2,specimens,,S,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,DE,ZA,,,1,specimens,,E,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,FR,NZ,,9,,carvings,,Q,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,FR,NZ,,,9,teeth,,Q,O
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,HK,ZA,,87,,specimens,,S,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,MX,ZA,,,112,fins,,S,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,MX,ZA,,,30,specimens,,S,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,SG,AU,,3,,specimens,,E,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,SG,AU,,520,,teeth,,E,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,12,,specimens,,S,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,SG,AU,3,,bones,,E,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,SG,AU,,3,skulls,,E,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,SG,AU,520,520,teeth,,E,W
2011,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,VN,,1,,bones,,P,I
2011,II,Pristis microdon,Elasmobranchii,Pristiformes,Pristidae,Pristis,DE,AU,,1,,live,,Z,W
2011,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,FR,MX,,,115,specimens,,S,O
2011,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,FR,MX,,115,,specimens,,S,W
2012,I,Anoxypristis cuspidata,Elasmobranchii,Pristiformes,Pristidae,Anoxypristis,US,ZA,XX,3,,unspecified,,P,I
2012,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,CA,FR,,1,,bones,,Q,O
2012,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,CN,GB,XX,,1,derivatives,,T,O
2012,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,FR,CA,,,1,bones,,E,O
2012,I,Pristidae spp.,Elasmobranchii,Pristiformes,Pristidae,,HK,DE,,2,,teeth,,T,O
2012,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,CN,DE,XX,,2,teeth,,T,O
2012,I,Pristis pectinata,Elasmobranchii,Pristiformes,Pristidae,Pristis,CA,FR,XX,,1,bones,,E,O
2012,I,Pristis pectinata,Elasmobranchii,Pristiformes,Pristidae,Pristis,FR,CA,XX,1,,bones,,E,O
2012,I,Pristis pristis,Elasmobranchii,Pristiformes,Pristidae,Pristis,KW,GB,XX,,1,derivatives,,T,O
2012,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,GB,NO,,,5,specimens,,S,
2012,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,HK,NO,,576.3,605.6,fins,kg,T,W
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,AT,ZA,,1,,skins,,E,W
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,CA,MX,XX,,9,teeth,,E,O
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,GB,US,XX,,1,teeth,,Q,O
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,GB,US,,1,,carvings,,Q,O
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,MX,FR,XX,9,9,teeth,,Q,O
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,SG,AU,,,3,bones,,Q,W
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,SG,AU,,,520,teeth,,Q,W
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,TR,US,AU,,3,bones,,E,W
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,TR,US,AU,,520,teeth,,E,W
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,CA,ZA,,58,specimens,,S,W
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,CN,XX,1,,bones,,P,I
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,CN,XX,1,,bones,,T,I
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,DK,XX,,1,derivatives,,Q,O
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,DK,XX,1,,teeth,,Q,O
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,GB,XX,,1,skin pieces,,T,U
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,IN,,1213,,teeth,,T,I
2012,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,TH,,1,,bones,,P,I
